classifier,KNN,,,SVM,,,RandomForest,,,XGB,,,NaiveBayes,,,DecisionTree,,,LogisticRegression,,
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
Abt-Buy,0.616,0.925,0.74,0.74,0.862,0.796,0.772,0.894,0.828,0.785,0.878,0.829,0.484,0.828,0.611,0.763,0.784,0.773,0.726,0.869,0.791
Amazon-GoogleProducts,0.514,0.842,0.638,0.602,0.784,0.681,0.687,0.795,0.737,0.695,0.814,0.75,0.587,0.541,0.563,0.668,0.706,0.687,0.587,0.779,0.67
DBLP-ACM,1,1,1,1,0.958,0.979,0.957,1,0.978,1,0.958,0.979,0.957,0.957,0.957,0.957,0.957,0.957,1,0.958,0.979
DBLP-Scholar,0.947,0.987,0.966,0.975,0.953,0.964,0.98,0.977,0.979,0.98,0.975,0.977,0.972,0.891,0.93,0.957,0.967,0.962,0.965,0.945,0.955
Anime,0.994,0.956,0.974,0.994,0.975,0.984,0.994,0.994,0.994,0.983,0.988,0.985,0.994,0.975,0.984,0.994,0.988,0.991,0.994,0.975,0.984
Baby_products,0.697,0.129,0.205,0.75,0.574,0.638,0.774,0.516,0.584,0.731,0.646,0.669,0.872,0.221,0.328,0.618,0.646,0.616,0.855,0.47,0.585
Beer,0.9,0.678,0.76,0.901,0.853,0.871,0.88,0.797,0.812,0.898,0.87,0.868,0.903,0.84,0.863,0.903,0.782,0.81,0.926,0.811,0.856
Bikes,0.676,0.4,0.497,0.493,0.977,0.644,0.977,0.938,0.956,0.944,0.954,0.947,0.744,0.969,0.841,0.926,0.931,0.928,0.754,0.869,0.806
Books1,0.924,0.931,0.927,0.967,0.987,0.977,0.974,0.957,0.965,0.964,0.979,0.97,0.625,1,0.77,0.945,0.961,0.953,0.911,0.996,0.951
Books2,0.871,0.651,0.743,0.813,0.76,0.771,0.83,0.793,0.808,0.881,0.813,0.841,0.716,0.912,0.798,0.813,0.792,0.801,0.86,0.793,0.821
Books3,0.991,0.994,0.992,0.985,0.997,0.991,1,0.997,0.998,1,0.997,0.998,0.77,0.997,0.868,1,0.997,0.998,1,0.294,0.45
Books4,0.987,0.714,0.813,1,0.919,0.957,0.99,0.95,0.969,0.968,0.94,0.953,0.933,0.85,0.883,0.952,0.949,0.949,1,0.878,0.933
Books5,0.36,0.15,0.203,0.36,0.15,0.203,0.36,0.15,0.203,0.36,0.15,0.203,0.41,0.225,0.29,0.36,0.15,0.203,0.36,0.15,0.203
Citations,0.988,0.923,0.954,0.948,0.945,0.943,0.935,0.913,0.923,0.943,0.978,0.958,0.876,0.989,0.926,0.924,0.923,0.922,0.922,0.956,0.934
Ebooks1,0.973,0.808,0.881,0.976,0.946,0.961,0.977,0.939,0.957,0.956,0.969,0.962,0.927,0.962,0.944,0.934,0.962,0.947,0.985,0.954,0.968
Ebooks2,1,0.935,0.965,1,0.975,0.987,1,0.975,0.987,1,0.975,0.987,1,0.975,0.987,0.988,0.975,0.981,1,0.988,0.994
Electronics,0.875,0.777,0.818,0.926,0.88,0.895,0.879,0.792,0.826,0.811,0.879,0.838,0.154,0.983,0.266,0.815,0.912,0.86,0.926,0.57,0.696
Movies1,0.972,0.921,0.943,0.959,0.958,0.958,0.995,0.968,0.981,0.99,0.974,0.981,0.984,0.963,0.973,0.974,0.984,0.979,0.963,0.947,0.953
Movies3,0.993,0.94,0.966,0.989,0.988,0.988,0.989,0.994,0.991,0.989,0.994,0.991,0.988,0.988,0.988,0.989,0.994,0.991,0.988,0.994,0.991
Movies5,0.983,0.963,0.973,0.988,0.979,0.983,0.992,0.979,0.985,0.98,0.992,0.986,0.976,0.933,0.952,0.947,0.958,0.953,0.964,0.988,0.975
Music,0.965,0.909,0.933,0.97,0.947,0.958,0.986,0.962,0.973,0.985,0.955,0.969,0.909,0.954,0.93,0.905,0.97,0.932,0.985,0.946,0.965
Restaurants1,0.8,0.33,0.461,0.97,0.84,0.878,0.984,0.976,0.98,0.984,0.976,0.98,0.963,0.992,0.977,0.969,0.951,0.959,0.984,0.951,0.967
Restaurants2,0.42,0.133,0.199,0.951,0.922,0.93,1,0.989,0.994,0.989,0.978,0.983,0.961,1,0.979,0.978,0.989,0.983,1,0.967,0.983
Restaurants3,0.955,0.661,0.768,0.926,0.954,0.938,0.95,0.965,0.954,0.957,0.966,0.96,0.912,0.988,0.947,0.97,0.977,0.972,0.933,0.931,0.931
Restaurants4,0.985,0.931,0.955,0.978,0.969,0.973,0.993,0.969,0.98,0.985,0.992,0.989,0.95,0.977,0.961,0.963,0.969,0.965,0.993,0.969,0.981
